record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
20260825-336ce412ada754527c2d-01,2026-08-25,手机,device,三星,W系列,W2020,,W2020,开机屏好大老化,500,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-5ea424fdabacad314a6a-01,2026-08-25,手机,device,三星,W系列,W2020,,W2020,开机屏坏,150,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-d09fcacefe6d9a2d795b-01,2026-08-25,手机,device,三星,W系列,W2020,,W2020,不开机屏好,150,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-5048df86084ce2ea253c-01,2026-08-25,手机,device,三星,W系列,W2020,,W2020,不开机,150,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-69edcc835340cdb6f64d-01,2026-08-25,手机,device,三星,W系列,W2020,,W2020,废板-整机,150,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-ba90b065242f4469c7ed-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,开机屏好,500,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-7f2283ac135aa5d23c8a-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,开机屏好小老化,130,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-902ca4727c9c9fd4aeff-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,开机屏好大老化,400,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-d4a969a02274b7aa0bf5-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,开机屏坏,130,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-606240a214bf3c1fb9ae-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,不开机屏好,100,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-4cec900248800d52d3d8-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,不开机,90,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-08004cc56032cb3b0783-01,2026-08-25,手机,device,三星,W系列,W2019,,W2019,废板-整机,90,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-2e5ba25b12d96dfbf248-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,开机屏好,300,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-c7196babafac01f6b768-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,开机屏好小老化,200,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-c7379ca0c015163f836f-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,开机屏好大老化,220,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-b1b5ac1a4fab5c65fab2-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,开机屏坏,30,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-97cb28214b63a3e338f8-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,不开机屏好,180,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-f5e952afc4f8d7faaeeb-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,不开机,30,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-66bdf8c5cfd5d9793e29-01,2026-08-25,手机,device,三星,W系列,W2018,,W2018,废板-整机,30,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
20260825-5ee0d82903e6ffa90efe-01,2026-08-25,手机,device,三星,W系列,W2017,,W2017,开机屏好,35,CNY/台,,image,三星.jpg,数码网报价单-0825更新/手机相关/三星.jpg,1,1.0,visual_0825_source_crosschecked
