record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
20260825-89def1a5e958928f2431-01,2026-08-25,手机,device,vivo,X旗舰系列,x60,,x60,开机屏坏/外碎,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-a205862ad024c488585e-01,2026-08-25,手机,device,vivo,X旗舰系列,x60,,x60,开机屏坏,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-9b63466e982d74f66b63-01,2026-08-25,手机,device,vivo,X旗舰系列,x60,,x60,不开机,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-44500b92ce125c948da7-01,2026-08-25,手机,device,vivo,X旗舰系列,x60,,x60,深板-整机,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-52e6c550caa5d398664c-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,开机靓好,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-c46d5f3a3cbf3f1a04fe-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,开机屏好碎壳,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-b7bdaea4aabd43431c0e-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,开机屏坏/外碎,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-f8e558d28e6a25120427-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,开机屏坏,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-68e3719a7801e5816588-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,不开机,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-d9d9ff4ec618c591ef34-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro+,,x50pro+,深板-整机,150.0,元/台,详见备注一,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-f7f33c50977be5dd3e4d-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro,,x50pro,开机靓好,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
20260825-78612d23e4c021a7c67c-01,2026-08-25,手机,device,vivo,X旗舰系列,x50pro,,x50pro,开机屏好碎壳,150.0,元/台,,image,vivo.jpg,数码网报价单-0825更新/手机相关/vivo.jpg,1,0.99,visual_legacy_crosscheck
