record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
20260831-6c739bbd6e7728204b16-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,开机屏好,9000.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-89a26e83ae6f32380b98-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,开机屏外屏坏,7000.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-5ff29edf62e41e935d64-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,开机屏内屏坏,4000.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-36a4f0978e45e33531f2-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,开机屏坏,3000.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-056ee3962ffdb22d05d0-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,不开机,260.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-6250571695b2162ee2cd-01,2026-08-31,手机,device,华为/荣耀,,MATE X7,DEL-AL10,DEL-AL10,废板-整机,150.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-c07f4cfc109e8bf20ce1-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,开机屏好,3800.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-ba8f6bfe98e90b5beb42-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,开机屏外屏坏,3000.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-2f74c07b35a4ec82f576-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,开机屏内屏坏,1400.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-dc6463cf78b417aaa1a5-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,开机屏坏,1200.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-ff7302c66c1f93e5be68-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,不开机,200.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-bb2aeb56b3bf3440ba3e-01,2026-08-31,手机,device,华为/荣耀,,MATE X5,ALT-AL10,ALT-AL10,废板-整机,130.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-52b3dd7f949a0a14d42b-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,开机屏好,1400.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-9d8e34fa2842a1f0d719-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,开机屏外屏坏,1100.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-36bd7e4b6dea624b5501-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,开机屏内屏坏,300.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-511eef2853aac5f8a038-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,开机屏坏,300.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-8aeebca598bd57a6d300-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,不开机,130.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-d7dd78ebded9c029c4ee-01,2026-08-31,手机,device,华为/荣耀,,MATE X3,ALT-AL00,ALT-AL00,废板-整机,130.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-c5ee193d9ad04626a471-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,开机屏好,1400.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-0c32ba5967081ce325e4-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,开机屏外屏坏,450.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-52428f42291b2ca5fefc-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,开机屏内屏坏,800.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-6848b48391b6cc7dc95d-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,开机屏坏,150.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-3fe3c17503a48729e315-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,不开机,150.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-5cc4fe5197112a7bce07-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G典藏版,TET-AN50,TET-AN50,废板-整机,150.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-dbdb9f2f89f5aeae263f-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,开机屏好,1200.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-1fff6bd7a354c7ce1978-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,开机屏外屏坏,400.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-3ac6c1a0d0ad7d2485e3-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,开机屏内屏坏,600.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-cf1fa0256da62a37fdf5-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,开机屏坏,110.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-2c3d343f302aabdf098b-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,不开机,110.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-65e32921f6de4bf8f66d-01,2026-08-31,手机,device,华为/荣耀,,Mate X2 5G,TET-AN00,TET-AN00,废板-整机,110.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-778f92ee398d3fdbe5ae-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,开机屏好,500.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-5b78155b66d483eed1ee-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,开机屏外屏坏,500.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-25aed9f340b3e14830b9-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,开机屏内屏坏,160.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-aacb253ca01f0714a8ad-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,开机屏坏,160.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-afb085f040abf7d7f65c-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,不开机,160.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-476c5fd7f4e3496fcd4b-01,2026-08-31,手机,device,华为/荣耀,,MATE XS2,PAL-AL00,PAL-AL00,废板-整机,160.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-a92dcadb3b25b3b01b1e-01,2026-08-31,手机,device,华为/荣耀,,MATE XS 5G,TAH-AN00M,TAH-AN00M,开机屏好,500.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-ace85b77be3721d317d0-01,2026-08-31,手机,device,华为/荣耀,,MATE XS 5G,TAH-AN00M,TAH-AN00M,开机屏外屏坏,500.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-d1d40ecbe43c382aa063-01,2026-08-31,手机,device,华为/荣耀,,MATE XS 5G,TAH-AN00M,TAH-AN00M,开机屏内屏坏,130.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
20260831-dfe5ee0b874f6e7e891a-01,2026-08-31,手机,device,华为/荣耀,,MATE XS 5G,TAH-AN00M,TAH-AN00M,开机屏坏,130.0,元/台,,,华为.jpg,数码网报价单-0831更新/手机相关/华为.jpg,1,0.99,visual_manual_transcription
