record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
20260831-72a080948713193c2675-01,2026-08-31,手机,device,OPPO,A,A3活力版,,A3活力版,开机屏坏未拆,260.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-c2f102e173a0d6822355-01,2026-08-31,手机,device,OPPO,A,A3活力版,,A3活力版,开机屏坏,260.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-31f78abe3798c9af4c9c-01,2026-08-31,手机,device,OPPO,A,A3活力版,,A3活力版,不开机,100.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-bd3dd2eb860e479afcaf-01,2026-08-31,手机,device,OPPO,A,A3活力版,,A3活力版,废板-整机,100.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-78067411372c250a264c-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,开机屏好,240.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-ffa48784b715660a9896-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,开机屏好外屏碎,240.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-f68a539be814230291b5-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,开机屏坏未拆,240.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-7c2fe5643b32936ab619-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,开机屏坏,240.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-8226410581592d86f9d9-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,不开机,100.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-e00233f6cd77ab428c35-01,2026-08-31,手机,device,OPPO,A,A3新款,,A3新款,废板-整机,100.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-566790185d760ec11562-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,开机屏好,300.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-77008aa79b967bce139c-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,开机屏好外屏碎,300.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-fc485406edefe74ed3e4-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,开机屏坏未拆,300.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-3c8451cc379c157f756e-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,开机屏坏,300.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-1a9fe76c53d9f3515d1c-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,不开机,150.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-dde7fe0ab0b6773a07a1-01,2026-08-31,手机,device,OPPO,A,A3x,,A3x,废板-整机,150.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-407434ce2c3c7fd8a52b-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,开机屏好,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-4ea33339cc71143f9310-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,开机屏好外屏碎,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-1493b33465dd014a56be-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,开机屏坏未拆,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-3af40955359204f08494-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,开机屏坏,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-ee5a5ffaafed5700a241-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,不开机,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-da7c987ab1322a50ffa8-01,2026-08-31,手机,device,OPPO,A,A3S,,A3S,废板-整机,45.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
20260831-734323387d4c55594da5-01,2026-08-31,手机,device,OPPO,A,a2pro,,a2pro,开机屏好,300.0,元/台,,,oppo.jpg,数码网报价单-0831更新/手机相关/oppo.jpg,1,0.98,visual_table_body_verification
