record_id,data_date,category,subtype,brand,series,model,model_code,alias,condition,price,unit,note,origin,source_image,source_path,verified,confidence,verification
0e6707a72172349d,2026-07-05,其它,EVD/唱戏机,,EVD,7-8寸屏,,,屏好,5,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
91fee8a0fb3e4b76,2026-07-05,其它,EVD/唱戏机,,EVD,7-8寸屏,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
53cc00983d1bd3d0,2026-07-05,其它,EVD/唱戏机,,EVD,9-10寸屏,,,屏好,13,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
455763b71db205e4,2026-07-05,其它,EVD/唱戏机,,EVD,9-10寸屏,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
374bfefa9fe6e475,2026-07-05,其它,EVD/唱戏机,,EVD,12寸/14寸以上,,,屏好,13,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
ad388ff574c0864d,2026-07-05,其它,EVD/唱戏机,,EVD,12寸/14寸以上,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
ae3be09cbf3abdcc,2026-07-05,其它,EVD/唱戏机,,EVD,进口原装7寸以上,,,屏好,6,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
1b1b1683145070e9,2026-07-05,其它,EVD/唱戏机,,EVD,进口原装7寸以上,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
80f77c84fc2de075,2026-07-05,其它,EVD/唱戏机,,唱戏机,8.9寸唱戏机,,,屏好,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
f7cdceefbebe87e6,2026-07-05,其它,EVD/唱戏机,,唱戏机,8.9寸唱戏机,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
2223c662c330c970,2026-07-05,其它,EVD/唱戏机,,唱戏机,4.3寸唱戏机,,,屏好,5,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
e8389ccfd33699a3,2026-07-05,其它,EVD/唱戏机,,唱戏机,4.3寸唱戏机,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
876450e2ee4e9cee,2026-07-05,其它,EVD/唱戏机,,唱戏机,7寸唱戏机,,,屏好,9,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
4a67b747ef5f4c1c,2026-07-05,其它,EVD/唱戏机,,唱戏机,7寸唱戏机,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
12b71d898facf6c7,2026-07-05,其它,EVD/唱戏机,,唱戏机,9寸唱戏机,,,屏好,13,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
ad1626fdc3db699f,2026-07-05,其它,EVD/唱戏机,,唱戏机,9寸唱戏机,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
b24589604151224c,2026-07-05,其它,EVD/唱戏机,,唱戏机,10.1寸唱戏机,,,屏好,13,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
e8cb54324a8d2bc6,2026-07-05,其它,EVD/唱戏机,,唱戏机,10.1寸唱戏机,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
9c244c501f46a387,2026-07-05,其它,EVD/唱戏机,,佳佳机,佳佳机9寸,,,屏好,12,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
5bec664937fe7846,2026-07-05,其它,EVD/唱戏机,,佳佳机,佳佳机9寸,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
7cd23be63534403a,2026-07-05,其它,EVD/唱戏机,,佳佳机,佳佳机7寸,,,屏好,10,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
d1fc31778d8d8dc7,2026-07-05,其它,EVD/唱戏机,,佳佳机,佳佳机7寸,,,屏坏,3,元/台,没电池扣3元,image,EVD 唱戏机.jpg,数码网报价单-0705更新/5.其它/EVD 唱戏机.jpg,1,1.0,visual_verified_from_uploaded_image
7c302c6aff3aac50,2026-07-05,其它,内存卡,,点数/内存,通点,,,单点/测试,5,元/个,,image,内存卡.jpg,数码网报价单-0705更新/5.其它/内存卡.jpg,1,1.0,visual_verified_from_uploaded_image
